beta,gamma,Nr,R*,dP*,Theta*
0.1925,3.7375,10.0,0.7325503014643897,0.11949790604740612,0.8085938733894946
0.1925,4.5,4.0,0.742788163070813,0.08276561557536521,0.7754114435783054
0.1925,4.5,6.0,0.7376002280235134,0.0924156895829647,0.7935529827756954
0.195,3.4,10.0,0.7256519621195904,0.13122498377904102,0.8091142681028046
0.195,3.4125,10.0,0.7258472529150511,0.13074670479620715,0.8088617520493162
0.195,3.425,10.0,0.7260474076197304,0.13027419178947952,0.8086295869023356
0.195,3.4375,10.0,0.7262523068642326,0.12980739655747828,0.8084175155603762
0.195,3.45,10.0,0.7264618250446022,0.12934626940241647,0.8082252641959886
0.195,3.4625,10.0,0.7266758302515101,0.12889075912507864,0.8080525423404161
0.195,3.475,10.0,0.7268941842013132,0.12844081303385946,0.8078990430287222
0.195,3.4875,10.0,0.7271167421658935,0.12799637695882396,0.8077644429952606
0.195,3.5,10.0,0.7273433529118664,0.12755739525813506,0.8076484029262411
0.195,3.5125,10.0,0.7275738586767045,0.12712381084215676,0.8075505677491377
0.195,3.525,10.0,0.7278080952371078,0.12669556520318143,0.8074705669513488
0.195,3.5375,10.0,0.7280458921043312,0.12627259846383704,0.80740801491095
0.195,3.55,10.0,0.7282870728057306,0.1258548494244901,0.8073625112586671
0.195,3.5625,10.0,0.7285314552091694,0.12544225562932876,0.8073336412754261
0.195,3.575,10.0,0.7287788518538647,0.1250347534308386,0.8073209763467177
0.195,3.5875,10.0,0.7290290702778907,0.12463227806211258,0.8073240744725085
0.195,3.6,10.0,0.7292819133489432,0.12423476370072414,0.8073424808284809
0.195,3.6125,10.0,0.7295371795880136,0.12384214354646035,0.8073757283863362
0.195,3.625,10.0,0.7297946634944483,0.12345434989383214,0.8074233385793794
0.195,3.6375,10.0,0.7300541558711721,0.12307131419976426,0.8074848220306827
0.195,3.65,10.0,0.7303154441474647,0.1226929671661487,0.8075596793106398
0.195,3.6625,10.0,0.7305783127060591,0.12231923880693193,0.8076474017535837
0.195,3.675,10.0,0.7308425432134149,0.12195005852966406,0.8077474723074511
